election_year,party_vote,lr_self,lr_national,lr_labour,econ_state,age,female,ethnicity_euro,ethnicity_maori,prev_vote,income_bracket,econ_change,education,party_like_lab,party_like_nat,party_like_grn,party_like_nzf,party_like_act,lr_green,vote_national,age_group,education_label
1996,National,6.0,8.0,4.0,3.0,46.0,1.0,True,False,,,,,,,,,,,1.0,45-59,
1996,National,,,4.0,2.0,48.0,1.0,False,True,,,,,,,,,,,1.0,45-59,
1996,National,10.0,6.0,2.0,2.0,48.0,0.0,False,False,,,,,,,,,,,1.0,45-59,
1996,Labour,4.0,9.0,3.0,2.0,55.0,1.0,False,True,,,,,,,,,,,0.0,45-59,
1996,ACT,7.0,7.0,5.0,3.0,72.0,1.0,True,False,,,,,,,,,,,,60+,
1996,National,,,,3.0,21.0,1.0,True,False,,,,,,,,,,,1.0,18-29,
1996,Alliance,5.0,9.0,7.0,3.0,78.0,0.0,True,False,,,,,,,,,,,,60+,
1996,National,7.0,7.0,6.0,3.0,49.0,0.0,False,False,,,,,,,,,,,1.0,45-59,
1996,Labour,4.0,8.0,4.0,2.0,35.0,1.0,False,True,,,,,,,,,,,0.0,30-44,
1996,Labour,1.0,9.0,1.0,3.0,76.0,1.0,True,False,,,,,,,,,,,0.0,60+,
1996,National,9.0,9.0,7.0,2.0,73.0,1.0,True,False,,,,,,,,,,,1.0,60+,
1996,Labour,4.0,8.0,3.0,3.0,68.0,0.0,True,False,,,,,,,,,,,0.0,60+,
1996,National,9.0,9.0,3.0,2.0,23.0,1.0,True,False,,,,,,,,,,,1.0,18-29,
1996,Labour,3.0,7.0,2.0,2.0,51.0,0.0,True,False,,,,,,,,,,,0.0,45-59,
1996,National,10.0,8.0,6.0,2.0,80.0,0.0,True,False,,,,,,,,,,,1.0,60+,
1996,National,8.0,9.0,3.0,2.0,32.0,0.0,True,False,,,,,,,,,,,1.0,30-44,
1996,Labour,3.0,8.0,3.0,2.0,34.0,0.0,True,False,,,,,,,,,,,0.0,30-44,
1996,National,10.0,10.0,5.0,2.0,54.0,1.0,True,False,,,,,,,,,,,1.0,45-59,
1996,Labour,5.0,10.0,2.0,2.0,27.0,1.0,True,False,,,,,,,,,,,0.0,18-29,
1996,NZ First,8.0,8.0,4.0,3.0,86.0,0.0,False,True,,,,,,,,,,,,60+,
1996,,3.0,8.0,5.0,2.0,42.0,0.0,True,False,,,,,,,,,,,,30-44,
1996,NZ First,8.0,7.0,4.0,3.0,21.0,0.0,True,False,,,,,,,,,,,,18-29,
1996,Alliance,2.0,6.0,4.0,3.0,23.0,1.0,True,False,,,,,,,,,,,,18-29,
1996,Labour,3.0,0.0,4.0,3.0,63.0,0.0,True,False,,,,,,,,,,,0.0,60+,
1996,National,,,,2.0,32.0,1.0,True,False,,,,,,,,,,,1.0,30-44,
1996,Labour,3.0,7.0,5.0,3.0,36.0,1.0,False,False,,,,,,,,,,,0.0,30-44,
1996,National,6.0,,,2.0,20.0,0.0,True,False,,,,,,,,,,,1.0,18-29,
1996,National,7.0,9.0,2.0,2.0,56.0,1.0,True,False,,,,,,,,,,,1.0,45-59,
1996,National,8.0,9.0,5.0,3.0,43.0,1.0,False,False,,,,,,,,,,,1.0,30-44,
1996,National,8.0,8.0,3.0,2.0,32.0,0.0,True,False,,,,,,,,,,,1.0,30-44,
1996,NZ First,5.0,10.0,2.0,3.0,39.0,0.0,True,False,,,,,,,,,,,,30-44,
1996,,5.0,10.0,2.0,2.0,65.0,1.0,True,False,,,,,,,,,,,,60+,
1996,Labour,,,,2.0,27.0,1.0,True,False,,,,,,,,,,,0.0,18-29,
1996,,5.0,9.0,1.0,3.0,27.0,0.0,True,False,,,,,,,,,,,,18-29,
1996,Labour,9.0,1.0,10.0,3.0,63.0,1.0,True,False,,,,,,,,,,,0.0,60+,
1996,National,,,,3.0,28.0,1.0,False,True,,,,,,,,,,,1.0,18-29,
1996,Christian,8.0,8.0,2.0,2.0,59.0,1.0,True,False,,,,,,,,,,,,45-59,
1996,Alliance,,,,3.0,54.0,1.0,True,False,,,,,,,,,,,,45-59,
1996,,5.0,9.0,1.0,2.0,33.0,1.0,True,False,,,,,,,,,,,,30-44,
1996,Labour,7.0,8.0,7.0,2.0,79.0,0.0,True,False,,,,,,,,,,,0.0,60+,
1996,National,,10.0,2.0,1.0,50.0,0.0,True,False,,,,,,,,,,,1.0,45-59,
1996,National,6.0,6.0,5.0,2.0,30.0,0.0,True,False,,,,,,,,,,,1.0,30-44,
1996,Labour,3.0,10.0,2.0,2.0,53.0,0.0,True,False,,,,,,,,,,,0.0,45-59,
1996,Christian,10.0,10.0,1.0,4.0,81.0,0.0,True,False,,,,,,,,,,,,60+,
1996,Labour,4.0,9.0,1.0,2.0,32.0,1.0,True,False,,,,,,,,,,,0.0,30-44,
1996,NZ First,4.0,9.0,4.0,2.0,71.0,1.0,True,False,,,,,,,,,,,,60+,
1996,Alliance,0.0,10.0,3.0,4.0,66.0,0.0,False,False,,,,,,,,,,,,60+,
1996,National,10.0,10.0,2.0,1.0,43.0,1.0,True,False,,,,,,,,,,,1.0,30-44,
1996,Labour,,10.0,,3.0,77.0,1.0,True,False,,,,,,,,,,,0.0,60+,
1996,Alliance,,10.0,1.0,4.0,39.0,1.0,True,False,,,,,,,,,,,,30-44,
1996,Alliance,6.0,9.0,5.0,4.0,53.0,0.0,False,False,,,,,,,,,,,,45-59,
1996,National,,,,2.0,34.0,1.0,True,False,,,,,,,,,,,1.0,30-44,
1996,,,5.0,5.0,3.0,35.0,0.0,True,False,,,,,,,,,,,,30-44,
1996,ACT,8.0,4.0,2.0,4.0,56.0,0.0,True,False,,,,,,,,,,,,45-59,
1996,National,8.0,9.0,5.0,2.0,65.0,0.0,False,False,,,,,,,,,,,1.0,60+,
1996,National,8.0,9.0,2.0,3.0,19.0,0.0,False,False,,,,,,,,,,,1.0,18-29,
1996,,1.0,9.0,7.0,3.0,26.0,0.0,True,False,,,,,,,,,,,,18-29,
1996,National,7.0,7.0,3.0,2.0,42.0,0.0,True,False,,,,,,,,,,,1.0,30-44,
1996,National,8.0,7.0,7.0,2.0,36.0,1.0,True,False,,,,,,,,,,,1.0,30-44,
1996,NZ First,5.0,9.0,1.0,2.0,73.0,0.0,True,False,,,,,,,,,,,,60+,
1996,NZ First,5.0,8.0,2.0,3.0,34.0,1.0,True,False,,,,,,,,,,,,30-44,
1996,Alliance,3.0,10.0,5.0,2.0,42.0,1.0,False,False,,,,,,,,,,,,30-44,
1996,ACT,8.0,8.0,3.0,2.0,24.0,1.0,True,False,,,,,,,,,,,,18-29,
1996,National,10.0,6.0,2.0,3.0,67.0,0.0,True,False,,,,,,,,,,,1.0,60+,
1996,National,9.0,9.0,1.0,4.0,42.0,1.0,True,False,,,,,,,,,,,1.0,30-44,
1996,NZ First,8.0,9.0,8.0,2.0,79.0,1.0,True,False,,,,,,,,,,,,60+,
1996,ACT,8.0,9.0,1.0,1.0,42.0,1.0,True,False,,,,,,,,,,,,30-44,
1996,Labour,,,,4.0,38.0,1.0,True,False,,,,,,,,,,,0.0,30-44,
1996,ACT,,,,2.0,36.0,1.0,False,True,,,,,,,,,,,,30-44,
1996,National,5.0,,,3.0,29.0,1.0,False,True,,,,,,,,,,,1.0,18-29,
1996,National,8.0,8.0,2.0,2.0,64.0,0.0,True,False,,,,,,,,,,,1.0,60+,
1996,Christian,7.0,8.0,3.0,4.0,42.0,0.0,False,True,,,,,,,,,,,,30-44,
1996,National,10.0,10.0,5.0,2.0,60.0,1.0,True,False,,,,,,,,,,,1.0,60+,
1996,National,8.0,8.0,7.0,2.0,66.0,0.0,True,False,,,,,,,,,,,1.0,60+,
1996,National,,,,2.0,32.0,1.0,False,True,,,,,,,,,,,1.0,30-44,
1996,Alliance,,,,4.0,23.0,1.0,True,False,,,,,,,,,,,,18-29,
1996,Labour,,,,2.0,43.0,0.0,True,False,,,,,,,,,,,0.0,30-44,
1996,Labour,6.0,,,2.0,43.0,1.0,True,False,,,,,,,,,,,0.0,30-44,
1996,Christian,6.0,7.0,3.0,1.0,52.0,0.0,True,False,,,,,,,,,,,,45-59,
1996,Labour,5.0,8.0,3.0,2.0,78.0,0.0,True,False,,,,,,,,,,,0.0,60+,
1996,Labour,2.0,9.0,2.0,3.0,31.0,1.0,True,False,,,,,,,,,,,0.0,30-44,
1996,Labour,,,,2.0,34.0,1.0,True,False,,,,,,,,,,,0.0,30-44,
1996,,,,,1.0,35.0,0.0,False,True,,,,,,,,,,,,30-44,
1996,National,8.0,8.0,5.0,2.0,43.0,0.0,False,False,,,,,,,,,,,1.0,30-44,
1996,Labour,10.0,,10.0,3.0,26.0,1.0,False,False,,,,,,,,,,,0.0,18-29,
1996,National,10.0,10.0,1.0,1.0,55.0,0.0,True,False,,,,,,,,,,,1.0,45-59,
1996,National,8.0,7.0,3.0,2.0,45.0,0.0,True,False,,,,,,,,,,,1.0,45-59,
1996,Labour,4.0,10.0,1.0,3.0,62.0,0.0,True,False,,,,,,,,,,,0.0,60+,
1996,ACT,7.0,7.0,3.0,2.0,40.0,0.0,False,False,,,,,,,,,,,,30-44,
1996,Labour,,,,3.0,23.0,1.0,True,False,,,,,,,,,,,0.0,18-29,
1996,ACT,5.0,9.0,4.0,2.0,49.0,0.0,True,False,,,,,,,,,,,,45-59,
1996,Labour,,,,2.0,22.0,0.0,True,False,,,,,,,,,,,0.0,18-29,
1996,Labour,10.0,,,1.0,54.0,0.0,False,False,,,,,,,,,,,0.0,45-59,
1996,National,4.0,8.0,2.0,2.0,46.0,0.0,False,False,,,,,,,,,,,1.0,45-59,
1996,NZ First,9.0,8.0,3.0,2.0,19.0,1.0,True,False,,,,,,,,,,,,18-29,
1996,National,9.0,8.0,4.0,2.0,30.0,0.0,True,False,,,,,,,,,,,1.0,30-44,
1996,Labour,9.0,9.0,,3.0,34.0,1.0,False,False,,,,,,,,,,,0.0,30-44,
